id,name,role,company_id
938,Jamal Ashraf,CEO,471
939,Yvonne Lin,CEO,472
940,"David Mack, CTO",CTO,473
941,"Chris Finneral, CEO",CEO,473
942,Abbas Mehdi,Founder,474
943,Somaira Punjwani,Founder,474
944,Louise Broni-Mensah,Founder,475
945,Christopher Hesse,Founder,476
946,Ryan Oldenburg,CEO,476
947,Andre von Houck,Founder,476
948,"Matevz Petek, CEO",CEO,477
949,Jim Robeson,Founder,478
950,Adam Saunders,CTO,478
951,"Abeer Agrawal, CTO",CTO,479
952,"Hugh Edmundson, Managing Partner",Managing Partner,479
953,"Rey Faustino, CEO",CEO,480
954,"Eric Lukoff, CTO",CTO,480
955,Hyungseok (Dino) Ha,CEO,481
956,Martin Stoyanov,Founder,482
957,Teo Teodosiev,Founder,482
958,"Andrew Norris, COO",COO,483
959,"Cobi Druxerman, Chief of Staff",Chief of Staff,483
960,"Aaron Glazer, CEO",CEO,483
961,"Jonathan Norris, CTO",CTO,483
962,"Nick Winter, CEO",CEO,485
963,"Katy Ashe, Chief Design Officer",Chief Design Officer,486
964,"Edith Elliott, CEO",CEO,486
965,Reham Fagiri,CEO,487
966,kalam dennis,Founder,487
967,"Cecilia Corral, Vice President of Product",Vice President of Product,488
968,"Vineet Singal, CEO",CEO,488
969,Jared Houghton,Founder,489
970,Brian Trautschold,COO,489
971,Travis Truett,CEO,489
972,Nicolas Michaelsen,Founder,490
973,Henrik Zillmer,Founder,490
974,"Nick Porter, CTO",CTO,491
975,Claire McDonnell,COO,492
976,Kai Stinchcombe,CEO,492
977,Preston Silverman,CEO,493
978,Tobiasz Dankiewicz,Founder,494
979,Michal Martyniak,Founder,494
980,Adam Hooper,CEO,495
981,Andy Norborg,CTO,495
982,Chris Castiglione,,496
983,Tobias Eichenwald,CEO,497
984,Brett Northart,Founder,498
985,Rakesh Tondon,CEO,498
986,Jake Heller,CEO,499
987,"Amir Elaguizy, CEO",CEO,500
988,Alex Morse,,500
989,"Lukasz Kostka, CTO",CTO,501
990,"Jakub Krzych, CEO",CEO,501
991,Garrett Beck,,502
992,Brandon Malatest,COO,503
993,Victor Wollesen,Founder,503
994,Glen Moriarty,Founder,504
995,"Chase Adam, CEO",CEO,505
996,Jesse Cooke,,505
997,"Grace Garey, Head of Operations",Head of Operations,505
998,Walker Williams,CEO,506
999,"Taro Fukuyama, CEO",CEO,507
1000,"Sunny Tsang, Chief Designer",Chief Designer,507
1001,Michelle Crosby,CEO,508
1002,"Jared Heyman, Executive Chairman",Executive Chairman,509
1003,Vivek Shah,Founder,510
1004,Andrew Seddon,CEO,511
1005,Denny Luan,,512
1006,Cindy Wu,,512
1007,Spencer Hewett,CEO,513
1008,Fei Deyle,CEO,514
